Q1_Age,Q2_Gender,Q3_Residential_Status,Q4_Emirate,Q5_Employment_Status,Q6_Monthly_Income_AED,Q7_Education_Level,Q8_Marital_Status,Q9_Household_Size,Q10_Have_Children,Q11_Play_Video_Games,Q12_Gaming_Platforms,Q13_Game_Types_Preferred,Q14_Gaming_Frequency,Q15_Hours_Per_Week,Q16_Primary_Gaming_Location,Q17_Gaming_Cafe_Visits_Past_12mo,Q18_Typical_Spend_Per_Visit_AED,Q19_Gaming_Companions,Q20_Gaming_Motivations,Q21_Social_Aspect_Importance,Q22_Leisure_Activity_Frequency,Q23_Leisure_Venues_Visited,Q24_Preferred_Visit_Time,Q25_Preferred_Visit_Duration,Q26_Food_Quality_Importance,Q27_Food_Service_Preference,Q28_Italian_Food_Preferences,Q29_Chinese_Food_Preferences,Q30_Beverage_Preferences,Q31_Snack_Preferences,Q32_FB_Spending_Per_Session_AED,Q33_Pricing_Model_Preference,Q34_WTP_Standard_Setup_AED_Per_Hour,Q35_WTP_Premium_Setup_AED_Per_Hour,Q36_Monthly_Membership_WTP_AED,Q37_Total_WTP_Per_Visit_AED,Q38_Price_Sensitivity,Q39_WTP_Premium_For_Fusion,Q40_Feature_Importance_Top5,Q41_Private_Room_Interest,Q42_Special_Services_Interest,Q43_Loyalty_Program_Interest,Q44_Location_Factors_Top3,Q45_Interest_In_Concept,Q46_Primary_Reason_For_Interest,Q47_Expected_Visit_Frequency,Q48_Would_Recommend,Q49_Biggest_Attraction,Q50_Concerns_Hesitations,Q51_Competitive_Advantage,Q52_Additional_Suggestions
25-34,Male,Expat (Student),Sharjah,Student,"10,001 - 20,000",Bachelor's degree,Single,2,No,"Yes, regularly (at least once a week)",Nintendo Switch; Tablet gaming,"Fighting games (Street Fighter, Mortal Kombat, Tekken); Casual/Party games (Mario Kart, Fall Guys, Among Us); Retro/Classic arcade games",Daily,11-15 hours,Gaming cafe/lounge,More than 10 times,101-150,Organized teams/Clans; Family members,Competition and winning; Entertainment/Fun; Social interaction,Very important,Rarely (few times a year),Bowling alleys/Entertainment centers,Morning (8 AM - 12 PM); Late night (9 PM - 2 AM); Evening (5 PM - 9 PM),4+ hours,Extremely important - food quality is a deciding factor,Full restaurant-style menu with table service,Bruschetta; Pepperoni Pizza; Tiramisu; Garlic Bread; Pasta Carbonara; Pasta Arrabiata; Panna Cotta,General Tso's Chicken; Dumplings/Momos (Steamed/Fried); Hot and Sour Soup; Spring Rolls; Manchurian (Chicken/Vegetable); Hakka Noodles,"Tea (Regular/Specialty); Energy drinks (Red Bull, Monster); Soft drinks (Coca-Cola, Pepsi, Sprite); Sports drinks (Gatorade, Powerade)",Nachos with dips; Burgers/Sliders; Nuts/Trail mix; Pretzels; Chips/Crisps,76-100 AED,Monthly membership (unlimited access),26-35 AED,46-60 AED,300-500 AED,151-200 AED,Somewhat price sensitive - I consider price but not the only factor,Probably not,"High-end gaming hardware (latest GPUs, processors); Affordable pricing; Fast and stable internet connection; Social atmosphere and community; Knowledgeable and helpful staff","Maybe, depends on pricing",Board game library; VR gaming experiences; Corporate team-building events; Esports coaching/Training sessions; Ladies-only sessions,Very likely,Near public transportation; Close to my home/workplace; Safe neighborhood,Very interested - I would likely visit frequently,Pricing flexibility is attractive,2-3 times per month,Probably yes,High-end gaming equipment,Prefer gaming at home; Pricing might be too high,Better pricing and value,Host regular tournaments
25-34,Male,UAE National,Dubai,Full-time employed,"35,001 - 50,000",Professional certification,Married,2,No,"Yes, occasionally (few times a month)",PC/Laptop; Nintendo Switch,"Simulation games (The Sims, Cities Skylines); RPG/Adventure (Elden Ring, Zelda, Final Fantasy); VR games; Battle Royale (Fortnite, PUBG, Apex Legends)",Once a week,2-5 hours,At home,2-5 times,Above 200,Romantic partner,Competition and winning; Social interaction; Stress relief/Relaxation,Slightly important,Once a month,"Sports/Fitness centers; Regular cafes (Starbucks, Costa, local cafes)",Morning (8 AM - 12 PM),1-2 hours,Slightly important,Mix of quick bites and proper meals,Pasta Alfredo; Pasta Carbonara; Pasta Arrabiata,Hot and Sour Soup; Sweet and Sour Chicken; Fried Rice (Chicken/Beef/Vegetable/Shrimp),"Water; Sports drinks (Gatorade, Powerade); Milkshakes",Fresh fruit; Chicken wings/tenders; French fries; Cookies/Brownies,26-50 AED,Monthly membership (unlimited access),36-45 AED,91-110 AED,300-500 AED,201-300 AED,Neutral - I balance price with experience quality,Maybe/Depends on quality,"High-end gaming hardware (latest GPUs, processors); Streaming/Content creation facilities; Private gaming rooms/VIP areas; Comfortable seating and ergonomic setup; Variety of gaming platforms (PC, PS5, Xbox, Switch)","Yes, occasionally for special occasions","Tournament participation (cash prizes, trophies); Streaming setup for content creators; Corporate team-building events",Not very likely,Safe neighborhood; Surrounded by other F&B options; In a mall or entertainment complex,Moderately interested - I would try it out and visit occasionally,Would be great for family outings,Once a month,Maybe,High-end gaming equipment,Limited operating hours,Better pricing and value,Offer student discounts
18-24,Female,Expat (Working Professional),Abu Dhabi,Full-time employed,"35,001 - 50,000",Bachelor's degree,Single,2,No,"Yes, occasionally (few times a month)",Xbox (One/Series X/S); Nintendo Switch,Board games (physical or digital); VR games,2-3 times per month,Less than 2 hours,Multiple locations,2-5 times,Above 200,Friends (online); Romantic partner,Stress relief/Relaxation; Entertainment/Fun; Skill improvement,Extremely important - gaming is mainly social for me,Multiple times per week,"Malls/Shopping centers; Libraries/Co-working spaces; Restaurants; Cinemas; Regular cafes (Starbucks, Costa, local cafes); Bowling alleys/Entertainment centers; Gaming cafes/lounges",Morning (8 AM - 12 PM); Late night (9 PM - 2 AM),1-2 hours,Extremely important - food quality is a deciding factor,Full restaurant-style menu with table service,Gelato; Risotto; Panna Cotta; Meat Lovers Pizza; Vegetarian Pizza; Garlic Bread,General Tso's Chicken; Dim Sum; Wontons; Noodle Soup; Stir-fried Vegetables,"Soft drinks (Coca-Cola, Pepsi, Sprite); Fresh juices; Coffee (Hot/Iced)",Burgers/Sliders; Fresh fruit; Sandwiches/Wraps; Nuts/Trail mix; Chips/Crisps,51-75 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",36-45 AED,91-110 AED,Less than 300 AED,301-400 AED,Not very price sensitive - I prioritize quality and experience,Probably not,Tournament hosting and events; Clean and well-maintained environment; Extended operating hours (24/7 or late night); Fast and stable internet connection; Streaming/Content creation facilities,"Yes, occasionally for special occasions",VR gaming experiences; Streaming setup for content creators; Esports coaching/Training sessions,Somewhat likely,Surrounded by other F&B options; Safe neighborhood; Ample parking availability,Extremely interested - I would definitely visit regularly,Would be great for family outings,Once a week,Definitely yes,Combination of everything,Concerns about cleanliness/hygiene,All-in-one entertainment destination,None
25-34,Female,Expat (Working Professional),Dubai,Full-time employed,"20,001 - 35,000",Bachelor's degree,Single,2,"Yes, above 18 years old","Yes, rarely (few times a year)",Tablet gaming,"Simulation games (The Sims, Cities Skylines); Strategy games (League of Legends, Dota 2, StarCraft)",Once a month or less,Less than 2 hours,Gaming cafe/lounge,More than 10 times,101-150,Friends (in-person),Competition and winning; Escapism/Immersion; Achievement/Progression,Moderately important,Once a week,Libraries/Co-working spaces; Bowling alleys/Entertainment centers; Restaurants; Sports/Fitness centers,Morning (8 AM - 12 PM); Weekends any time; Late night (9 PM - 2 AM),Less than 1 hour,Moderately important,Self-service/Grab-and-go options,"Pasta Bolognese; Italian Coffee (Espresso, Cappuccino); Garlic Bread; Bruschetta",Manchurian (Chicken/Vegetable); Fried Rice (Chicken/Beef/Vegetable/Shrimp); General Tso's Chicken; Szechuan dishes (Spicy); Peking Duck,"Milkshakes; Fresh juices; Specialty coffee drinks (Frappuccino, Latte)",Cookies/Brownies,51-75 AED,Package deals (gaming hours + F&B combo),36-45 AED,61-75 AED,Less than 300 AED,101-150 AED,Neutral - I balance price with experience quality,Probably yes,"Extended operating hours (24/7 or late night); Variety of gaming platforms (PC, PS5, Xbox, Switch); Knowledgeable and helpful staff; High-end gaming hardware (latest GPUs, processors); Clean and well-maintained environment","Yes, definitely - I'd use this regularly",Board game library; Ladies-only sessions; Retro arcade section; Birthday party packages,Extremely likely,Ample parking availability; Near public transportation; Surrounded by other F&B options,Moderately interested - I would try it out and visit occasionally,Competitive gaming scene needs this,Once a month,Maybe,Quality food and dining experience,Concerns about cleanliness/hygiene; Might be too crowded/noisy,Better equipment than competitors,None
18-24,Male,Expat (Dependent),Dubai,Student,"5,000 - 10,000",High school or below,Single,1 (Live alone),No,"Yes, regularly (at least once a week)",PlayStation (PS4/PS5); Nintendo Switch; Tablet gaming,"Strategy games (League of Legends, Dota 2, StarCraft); Fighting games (Street Fighter, Mortal Kombat, Tekken); Sports games (FIFA, NBA 2K, F1); RPG/Adventure (Elden Ring, Zelda, Final Fantasy)",Once a week,2-5 hours,At a friend's place,2-5 times,0-50,Friends (in-person); Alone; Organized teams/Clans; Romantic partner,Entertainment/Fun; Competition and winning; Social interaction,Very important,Once a week,Board game cafes; Gaming cafes/lounges; Restaurants,Late night (9 PM - 2 AM),Half-day sessions,Very important,Mix of quick bites and proper meals,Margherita Pizza; Garlic Bread; Gelato; Tiramisu; Risotto; Pepperoni Pizza; Panna Cotta,Spring Rolls; Stir-fried Vegetables; Dumplings/Momos (Steamed/Fried); Orange Chicken; Sweet and Sour Chicken; Hakka Noodles; Hot and Sour Soup,"Water; Milkshakes; Bubble tea; Specialty coffee drinks (Frappuccino, Latte); Energy drinks (Red Bull, Monster)",Fresh fruit; Nuts/Trail mix; Burgers/Sliders; Cookies/Brownies,51-75 AED,Monthly membership (unlimited access),15-25 AED,30-45 AED,Not interested in membership,201-300 AED,Very price sensitive - I look for best deals and discounts,Probably not,"Strategic location and accessibility; Comfortable seating and ergonomic setup; Variety of gaming platforms (PC, PS5, Xbox, Switch); High-end gaming hardware (latest GPUs, processors); Social atmosphere and community","Yes, occasionally for special occasions",Birthday party packages; Retro arcade section; Esports coaching/Training sessions,Not very likely,In a mall or entertainment complex; Ample parking availability; Safe neighborhood,Very interested - I would likely visit frequently,Premium equipment is exactly what I'm looking for,2-3 times per month,Definitely yes,High-end gaming equipment,Might be too crowded/noisy,Superior food quality,Have ladies-only hours
25-34,Male,Expat (Working Professional),Sharjah,Self-employed/Entrepreneur,"35,001 - 50,000",Bachelor's degree,Married with children,5-6,"Yes, above 18 years old","Yes, regularly (at least once a week)",Tablet gaming; Mobile gaming,"First-person shooters (Call of Duty, Valorant, CS:GO); RPG/Adventure (Elden Ring, Zelda, Final Fantasy); Battle Royale (Fortnite, PUBG, Apex Legends); Fighting games (Street Fighter, Mortal Kombat, Tekken); Casual/Party games (Mario Kart, Fall Guys, Among Us)",4-6 times per week,6-10 hours,Multiple locations,More than 10 times,101-150,Friends (online); Romantic partner,Story and narrative; Entertainment/Fun; Skill improvement,Moderately important,2-3 times per month,Shisha cafes; Bowling alleys/Entertainment centers,Late night (9 PM - 2 AM); Weekends any time,3-4 hours,Not important - I'm only there for gaming,Self-service/Grab-and-go options,None of the above,None of the above,"Energy drinks (Red Bull, Monster); Fresh juices; Coffee (Hot/Iced); Tea (Regular/Specialty)",Nuts/Trail mix; French fries; Sandwiches/Wraps,Nothing - I don't eat/drink while gaming,"Fixed session pricing (e.g., 80 AED for 2 hours)",26-35 AED,61-75 AED,701-900 AED,201-300 AED,Not very price sensitive - I prioritize quality and experience,Probably not,"High-end gaming hardware (latest GPUs, processors); Comfortable seating and ergonomic setup; Quality food and beverage options; Extended operating hours (24/7 or late night); Affordable pricing","Yes, definitely - I'd use this regularly","Corporate team-building events; Esports coaching/Training sessions; Ladies-only sessions; Kids gaming hours; Tournament participation (cash prizes, trophies)",Extremely likely,Safe neighborhood; Surrounded by other F&B options; In a mall or entertainment complex,Moderately interested - I would try it out and visit occasionally,Would visit only occasionally,2-3 times per month,Maybe,Combination of everything,Pricing might be too high,Better equipment than competitors,Have ladies-only hours
25-34,Male,Expat (Student),Dubai,Student,"Below 5,000",Bachelor's degree,Single,2,No,"Yes, regularly (at least once a week)",Tablet gaming; Xbox (One/Series X/S),"VR games; RPG/Adventure (Elden Ring, Zelda, Final Fantasy); Casual/Party games (Mario Kart, Fall Guys, Among Us)",Daily,11-15 hours,At home,Never,Haven't visited,Organized teams/Clans; Strangers/Online community; Alone,Story and narrative; Social interaction; Achievement/Progression,Moderately important,2-3 times per month,Cinemas; Gaming cafes/lounges; Board game cafes,Weekends any time; Late night (9 PM - 2 AM); Afternoon (12 PM - 5 PM),3-4 hours,Moderately important,Quick-service counter with delivery to gaming stations,Pasta Carbonara; Caprese Salad; Pasta Bolognese; Bruschetta; Meat Lovers Pizza; Garlic Bread; Tiramisu,Hakka Noodles; Spring Rolls; Szechuan dishes (Spicy); Dumplings/Momos (Steamed/Fried),"Fresh juices; Water; Specialty coffee drinks (Frappuccino, Latte); Soft drinks (Coca-Cola, Pepsi, Sprite); Energy drinks (Red Bull, Monster)",Nachos with dips; Popcorn; Nuts/Trail mix; Burgers/Sliders,51-75 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",15-25 AED,46-60 AED,300-500 AED,50-100 AED,Very price sensitive - I look for best deals and discounts,Maybe/Depends on quality,"High-end gaming hardware (latest GPUs, processors); Streaming/Content creation facilities; Private gaming rooms/VIP areas; Tournament hosting and events; Comfortable seating and ergonomic setup","Yes, occasionally for special occasions","VR gaming experiences; Tournament participation (cash prizes, trophies); Gaming leagues and ladders; Ladies-only sessions; Streaming setup for content creators",Not at all likely,Safe neighborhood; Ample parking availability; In a mall or entertainment complex,Moderately interested - I would try it out and visit occasionally,Depends on the atmosphere,Once a month,Maybe,High-end gaming equipment,Limited operating hours; Not enough variety in games; Pricing might be too high,Better equipment than competitors,Good parking availability needed
Under 18,Female,Expat (Working Professional),Dubai,Full-time employed,"20,001 - 35,000",Master's degree,Single,3-4,"Yes, above 18 years old","No, and not interested",None,None,2-3 times per month,Less than 2 hours,At home,Never,Haven't visited,None,None,Very important,2-3 times per month,Malls/Shopping centers; Gaming cafes/lounges,Would not visit,1-2 hours,Very important,Full restaurant-style menu with table service,Pepperoni Pizza; Vegetarian Pizza; Pasta Alfredo; Pasta Arrabiata; Garlic Bread,Noodle Soup; Peking Duck; Fried Rice (Chicken/Beef/Vegetable/Shrimp); Szechuan dishes (Spicy); Orange Chicken; Stir-fried Vegetables; General Tso's Chicken; Dim Sum; Manchurian (Chicken/Vegetable),"Sports drinks (Gatorade, Powerade); Specialty coffee drinks (Frappuccino, Latte); Tea (Regular/Specialty)",Nachos with dips; Burgers/Sliders; French fries,101-150 AED,Package deals (gaming hours + F&B combo),46-55 AED,46-60 AED,300-500 AED,151-200 AED,Not very price sensitive - I prioritize quality and experience,Probably yes,Comfortable seating and ergonomic setup; Private gaming rooms/VIP areas; Extended operating hours (24/7 or late night); Tournament hosting and events; Affordable pricing,"Yes, occasionally for special occasions",Gaming leagues and ladders; Ladies-only sessions; Board game library; Birthday party packages,Not very likely,Near public transportation; Safe neighborhood; Ample parking availability,Very interested - I would likely visit frequently,Pricing flexibility is attractive,Once a week,Definitely yes,Combination of everything,Concerns about cleanliness/hygiene,Better equipment than competitors,Offer student discounts
18-24,Female,UAE National,Dubai,Self-employed/Entrepreneur,"20,001 - 35,000",Bachelor's degree,Single,2,"Yes, above 18 years old","Yes, occasionally (few times a month)",Mobile gaming; Tablet gaming,"Racing games (Gran Turismo, Forza); Retro/Classic arcade games",2-3 times per month,Less than 2 hours,At home,Once,51-100,Organized teams/Clans; Friends (in-person),Achievement/Progression; Entertainment/Fun; Social interaction,Moderately important,Once a week,"Regular cafes (Starbucks, Costa, local cafes); Gaming cafes/lounges; Shisha cafes",Weekends any time; Evening (5 PM - 9 PM); Late night (9 PM - 2 AM),2-3 hours,Very important,Mix of quick bites and proper meals,"Pasta Alfredo; Pepperoni Pizza; Gelato; Lasagna; Bruschetta; Italian Coffee (Espresso, Cappuccino); Risotto",General Tso's Chicken; Orange Chicken; Peking Duck; Chow Mein,"Coffee (Hot/Iced); Milkshakes; Energy drinks (Red Bull, Monster)",French fries; Sandwiches/Wraps,76-100 AED,"All-day pass (e.g., 150 AED unlimited gaming)",26-35 AED,61-75 AED,300-500 AED,101-150 AED,Somewhat price sensitive - I consider price but not the only factor,Probably yes,"High-end gaming hardware (latest GPUs, processors); Private gaming rooms/VIP areas; Clean and well-maintained environment; Extended operating hours (24/7 or late night); Tournament hosting and events","Yes, occasionally for special occasions","Kids gaming hours; Tournament participation (cash prizes, trophies)",Very likely,In a mall or entertainment complex; Ample parking availability; Safe neighborhood,Moderately interested - I would try it out and visit occasionally,Location needs to be convenient,2-3 times per month,Maybe,Social environment and community,Food quality might not justify the price,More comfortable and clean environment,Host regular tournaments
25-34,Female,Expat (Working Professional),Sharjah,Full-time employed,"20,001 - 35,000",Bachelor's degree,Married with children,3-4,"Yes, above 18 years old","Yes, occasionally (few times a month)",Nintendo Switch,"Simulation games (The Sims, Cities Skylines); RPG/Adventure (Elden Ring, Zelda, Final Fantasy); Retro/Classic arcade games",2-3 times per month,2-5 hours,At home,Never,Haven't visited,Romantic partner; Family members,Stress relief/Relaxation; Entertainment/Fun; Escapism/Immersion,Very important,Once a month,Libraries/Co-working spaces; Malls/Shopping centers,Late night (9 PM - 2 AM),1-2 hours,Not important - I'm only there for gaming,Self-service/Grab-and-go options,None of the above,Szechuan dishes (Spicy); Hakka Noodles; Spring Rolls,"Energy drinks (Red Bull, Monster); Bubble tea; Specialty coffee drinks (Frappuccino, Latte)",Sandwiches/Wraps; Burgers/Sliders; Chicken wings/tenders; French fries,Nothing - I don't eat/drink while gaming,Monthly membership (unlimited access),26-35 AED,46-60 AED,Not interested in membership,151-200 AED,Neutral - I balance price with experience quality,Definitely not,"Streaming/Content creation facilities; Knowledgeable and helpful staff; Variety of gaming platforms (PC, PS5, Xbox, Switch); Extended operating hours (24/7 or late night); Strategic location and accessibility","Yes, definitely - I'd use this regularly",Ladies-only sessions; Corporate team-building events; Retro arcade section; Birthday party packages,Somewhat likely,Safe neighborhood; Near public transportation; Close to my home/workplace,Moderately interested - I would try it out and visit occasionally,Italian and Chinese fusion sounds interesting,Once a week,Maybe,Combination of everything,Might be too crowded/noisy,Better pricing and value,More vegetarian food options
25-34,Female,Expat (Dependent),Dubai,Homemaker,"20,001 - 35,000",High school or below,Married with children,3-4,"Yes, under 12 years old","Yes, regularly (at least once a week)",Nintendo Switch; Tablet gaming; Xbox (One/Series X/S); PlayStation (PS4/PS5),"Retro/Classic arcade games; RPG/Adventure (Elden Ring, Zelda, Final Fantasy); Sports games (FIFA, NBA 2K, F1); Battle Royale (Fortnite, PUBG, Apex Legends); Racing games (Gran Turismo, Forza); Simulation games (The Sims, Cities Skylines)",4-6 times per week,6-10 hours,At home,2-5 times,51-100,Friends (online); Friends (in-person),Entertainment/Fun; Social interaction; Escapism/Immersion,Moderately important,Once a week,"Board game cafes; Regular cafes (Starbucks, Costa, local cafes); Libraries/Co-working spaces",Evening (5 PM - 9 PM),2-3 hours,Moderately important,Mix of quick bites and proper meals,Tiramisu; Pasta Carbonara; Bruschetta; Garlic Bread; Pasta Bolognese,Dumplings/Momos (Steamed/Fried); Hakka Noodles; Spring Rolls; Noodle Soup,"Soft drinks (Coca-Cola, Pepsi, Sprite); Milkshakes; Energy drinks (Red Bull, Monster); Sports drinks (Gatorade, Powerade); Specialty coffee drinks (Frappuccino, Latte); Fresh juices",Candy/Chocolate; Chicken wings/tenders; French fries,76-100 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",26-35 AED,61-75 AED,701-900 AED,101-150 AED,Somewhat price sensitive - I consider price but not the only factor,Maybe/Depends on quality,"High-end gaming hardware (latest GPUs, processors); Knowledgeable and helpful staff; Comfortable seating and ergonomic setup; Strategic location and accessibility; Variety of gaming platforms (PC, PS5, Xbox, Switch)","Maybe, depends on pricing","Birthday party packages; Esports coaching/Training sessions; VR gaming experiences; Ladies-only sessions; Tournament participation (cash prizes, trophies)",Somewhat likely,Safe neighborhood; Close to my home/workplace; Near public transportation,Very interested - I would likely visit frequently,Premium equipment is exactly what I'm looking for,Once a week,Definitely yes,High-end gaming equipment,Limited operating hours; Pricing might be too high; Not enough variety in games,Premium experience worth the price,None
35-44,Female,Expat (Working Professional),Dubai,Self-employed/Entrepreneur,"20,001 - 35,000",Diploma/Certificate,Married with children,3-4,"Yes, above 18 years old","Yes, occasionally (few times a month)",PlayStation (PS4/PS5); PC/Laptop,"First-person shooters (Call of Duty, Valorant, CS:GO); VR games; Simulation games (The Sims, Cities Skylines)",2-3 times per month,Less than 2 hours,At a friend's place,2-5 times,101-150,Friends (in-person); Organized teams/Clans,Escapism/Immersion; Skill improvement; Entertainment/Fun,Extremely important - gaming is mainly social for me,Multiple times per week,"Restaurants; Regular cafes (Starbucks, Costa, local cafes); Shisha cafes; Sports/Fitness centers; Cinemas",Morning (8 AM - 12 PM),2-3 hours,Not important - I'm only there for gaming,"No food needed, just beverages",None of the above,None of the above,"Soft drinks (Coca-Cola, Pepsi, Sprite); Specialty coffee drinks (Frappuccino, Latte); Smoothies; Tea (Regular/Specialty)",Burgers/Sliders; Nuts/Trail mix; Cookies/Brownies; Chips/Crisps,Nothing - I don't eat/drink while gaming,"Fixed session pricing (e.g., 80 AED for 2 hours)",36-45 AED,61-75 AED,300-500 AED,101-150 AED,Not very price sensitive - I prioritize quality and experience,Probably not,Strategic location and accessibility; Private gaming rooms/VIP areas; Extended operating hours (24/7 or late night); Streaming/Content creation facilities; Social atmosphere and community,"Yes, occasionally for special occasions","Gaming leagues and ladders; Retro arcade section; Tournament participation (cash prizes, trophies); Birthday party packages",Somewhat likely,Near public transportation; Close to my home/workplace; In a mall or entertainment complex,Very interested - I would likely visit frequently,Love the social-first approach,2-3 times per month,Definitely yes,Convenient location,Food quality might not justify the price; Might be too crowded/noisy,Superior food quality,Keep it clean and well-maintained
25-34,Male,Expat (Student),Abu Dhabi,Student,Prefer not to say,Bachelor's degree,Single,3-4,No,"Yes, regularly (at least once a week)",Xbox (One/Series X/S); Nintendo Switch,"Racing games (Gran Turismo, Forza); VR games; Retro/Classic arcade games; First-person shooters (Call of Duty, Valorant, CS:GO)",4-6 times per week,11-15 hours,Multiple locations,More than 10 times,51-100,Romantic partner; Friends (online); Strangers/Online community,Social interaction; Story and narrative; Skill improvement,Extremely important - gaming is mainly social for me,2-3 times per month,Malls/Shopping centers; Restaurants; Sports/Fitness centers; Cinemas,Afternoon (12 PM - 5 PM); Weekends any time,3-4 hours,Extremely important - food quality is a deciding factor,Mix of quick bites and proper meals,"Pasta Arrabiata; Pepperoni Pizza; Gelato; Vegetarian Pizza; Pasta Bolognese; Italian Coffee (Espresso, Cappuccino); Garlic Bread; Panna Cotta",Hot and Sour Soup; Fried Rice (Chicken/Beef/Vegetable/Shrimp); Dim Sum; Dumplings/Momos (Steamed/Fried); Noodle Soup; Kung Pao Chicken,"Soft drinks (Coca-Cola, Pepsi, Sprite); Fresh juices; Energy drinks (Red Bull, Monster); Milkshakes; Coffee (Hot/Iced)",Pretzels; Nuts/Trail mix; French fries; Popcorn,76-100 AED,Monthly membership (unlimited access),15-25 AED,61-75 AED,300-500 AED,101-150 AED,Very price sensitive - I look for best deals and discounts,Maybe/Depends on quality,"High-end gaming hardware (latest GPUs, processors); Affordable pricing; Private gaming rooms/VIP areas; Clean and well-maintained environment; Tournament hosting and events","Yes, definitely - I'd use this regularly",Streaming setup for content creators; Board game library; Retro arcade section; VR gaming experiences; Birthday party packages,Extremely likely,Surrounded by other F&B options; Safe neighborhood; In a mall or entertainment complex,Extremely interested - I would definitely visit regularly,Love the social-first approach,Multiple times per week,Definitely yes,High-end gaming equipment,Food quality might not justify the price; Pricing might be too high,Better equipment than competitors,Have ladies-only hours
18-24,Female,Expat (Student),Sharjah,Student,"5,000 - 10,000",High school or below,Married,3-4,"Yes, under 12 years old","Yes, occasionally (few times a month)",PlayStation (PS4/PS5); Nintendo Switch,"Battle Royale (Fortnite, PUBG, Apex Legends); Strategy games (League of Legends, Dota 2, StarCraft); Fighting games (Street Fighter, Mortal Kombat, Tekken)",2-3 times per month,2-5 hours,Multiple locations,2-5 times,0-50,Romantic partner,Achievement/Progression; Social interaction; Competition and winning,Slightly important,Rarely (few times a year),Libraries/Co-working spaces,Morning (8 AM - 12 PM); Afternoon (12 PM - 5 PM),1-2 hours,Very important,Full restaurant-style menu with table service,Risotto; Pasta Alfredo; Bruschetta; Garlic Bread; Pasta Bolognese; Tiramisu,Spring Rolls; Orange Chicken; Noodle Soup; Fried Rice (Chicken/Beef/Vegetable/Shrimp); Kung Pao Chicken; Hot and Sour Soup; Manchurian (Chicken/Vegetable),"Sports drinks (Gatorade, Powerade); Energy drinks (Red Bull, Monster); Soft drinks (Coca-Cola, Pepsi, Sprite)",Cookies/Brownies; Chips/Crisps; Burgers/Sliders; Sandwiches/Wraps; Fresh fruit,26-50 AED,Monthly membership (unlimited access),26-35 AED,30-45 AED,Less than 300 AED,50-100 AED,Somewhat price sensitive - I consider price but not the only factor,Probably yes,Private gaming rooms/VIP areas; Streaming/Content creation facilities; Knowledgeable and helpful staff; Clean and well-maintained environment; Social atmosphere and community,"Yes, definitely - I'd use this regularly","Retro arcade section; Tournament participation (cash prizes, trophies); Birthday party packages",Not very likely,Surrounded by other F&B options; Safe neighborhood; Close to my home/workplace,Slightly interested - I might visit once to check it out,Italian and Chinese fusion sounds interesting,Once every few months,Probably yes,Quality food and dining experience,Concerns about cleanliness/hygiene; Food quality might not justify the price,Convenient location,More vegetarian food options
18-24,Male,Expat (Working Professional),Dubai,Part-time employed,"5,000 - 10,000",High school or below,Single,2,"Yes, above 18 years old","No, but I'm interested in starting",Mobile gaming,"Retro/Classic arcade games; Casual/Party games (Mario Kart, Fall Guys, Among Us); Battle Royale (Fortnite, PUBG, Apex Legends)",Once a month or less,2-5 hours,Multiple locations,More than 10 times,101-150,Alone; Strangers/Online community,None,Slightly important,2-3 times per month,"Regular cafes (Starbucks, Costa, local cafes); Shisha cafes; Board game cafes",Morning (8 AM - 12 PM); Weekends any time,1-2 hours,Not important - I'm only there for gaming,"No food needed, just beverages",None of the above,None of the above,"Bubble tea; Energy drinks (Red Bull, Monster); Fresh juices",Burgers/Sliders; Chips/Crisps; Cookies/Brownies; Candy/Chocolate; Nuts/Trail mix,Nothing - I don't eat/drink while gaming,"All-day pass (e.g., 150 AED unlimited gaming)",15-25 AED,61-75 AED,Not interested in membership,101-150 AED,Neutral - I balance price with experience quality,Maybe/Depends on quality,Comfortable seating and ergonomic setup; Extended operating hours (24/7 or late night); Knowledgeable and helpful staff; Social atmosphere and community; Clean and well-maintained environment,"Yes, occasionally for special occasions",Kids gaming hours; Ladies-only sessions; Board game library,Very likely,Near public transportation; Ample parking availability; Surrounded by other F&B options,Not interested - This doesn't appeal to me,Pricing might be too expensive,Probably wouldn't visit,Maybe,Quality food and dining experience,Concerns about cleanliness/hygiene; Not enough variety in games; Prefer gaming at home,Strong community and events,Partner with gaming brands
